motis_id,name
12211,Rheinbahn MetroBus
12216,Heidekreis
12217,RVHI Regionalverkehr Hildesheim GmbH
12218,SVHI Stadtverkehr Hildesheim GmbH
12219,Willy Hummert Omnibusverkehr GmbH
12236,rebus
12277,Stadtwerke Rodgau1
1231,FRS Finland Oy
1235,Finnair
1249,Bentheimer Eisenbahn
12521,Regionalverkehre Start Deutschland GmbH Mitteldeutschland
126,W. Giese Nachf. Omnibusbetrieb GmbH
12622,SNCB
12634,Ceske Drahy
12638,NordWestBahn
12683,Regionalverkehre Start Deutschland GmbH Unterelbe
12721,Ehard
12722,VGN Kraus Reisen
12729,Omnibus-Nahverkehrs-Service
12760,Kraichtal Bus GbR
12761,Sonstige Unternehmen
12782,Kieler Verkehrsgesellschaft mbH
12784,Schlepp- und Fährgesellschaft Kiel mbh (SFK)
12842,HarzBus GbR
12856,die linie
12869,ARRIVA_ZL
12871,Aachener Straßenbahn und Energieversorgungs-AG
12879,WestVerkehr GmbH
12882,Hartmann
12883,Scherer Reisen Omnibus Gesellschaft mbH
12886,Komm mit
12894,Schwäbische Alb-Bahn
12896,Verkehrsgemeinschaft Landkreis Gotha GbR
12914,Norddeutsche Verkehrsbetriebe NF Mitte
12916,Fähre Weiße Flotte
12943,"Stadtwerke Dachau, Dachau1"
12961,Dortmunder Stadtwerke Taxibus
12976,Leibfritz
12991,Busreisen Andreesen Morten GmbH & Co. KG
12992,Vineta Autobus GmbH
13,Oberger GmbH
13003,Hock
13004,Grasmann neu
13011,Gebken Reisen GmbH
13031,Schülerlinien CVAG
13086,Landkreis Neuburg-Schrobenhausen
13112,Westliche Wälder 01
13116,Wirtschaftsbetrieb Bad Hersfeld
13122,TRI Train Rental GmbH
13137,Verkehrsgesellschaft Landkreis Osnabrück
13142,Verkehrsunternehmen Wartburgmobil VUW gkAöR
13151,Bayer
13181,Tempus mobil
13211,Stadtbus Kronberg im Taunus1
13277,Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH
13279,Reisedienst von Rahden GmbH & Co. KG
13287,Tschechische Republik (Sonstige)
13291,WestfalenBahn
133,Reisedienst von Rahden GmbH & Co. KG
13327,RBA Dillingen
13346,Würzburger Straßenbahn
13351,Personen- und Reiseverkehrs GmbH Greiz
13371,Rurtalbus GmbH
13398,Weissenburg
13423,Montafoner Bahn
13429,Nordhäuser Verkehrsbetriebe GmbH
13441,Ostalbkreis
13451,ARGE SFB
13452,Frölich Linie
13466,Nikolaus Kirsch GmbH
13476,Dürk-Reisen
13478,Expressbus Relex1
13479,Alb-Donau-Kreis1
13481,Andre-Touristk
13502,Vetter Verkehrsbetriebe
13511,OVF
13513,Martin Regionalbus
13521,Regionalverkehr Oberbayer (überregional)
13536,Autokraft Kiel GmbH Anrufverkehre
13544,LB2 Vogel VGN 202-202-246
13551,Reisebüro Beckermann
13583,Busverkehr Wissmüller
