wikidata_id,name
Q122870674,DB InfraGO
Q896765,DB Netz
Q1152072,DB Projekt Verkehrsbau
Q1152070,DB ProjektBau
Q18853,DB Regio
Q19962170,"DB Regio AG, Regio Südwest"
Q1152077,DB Regio Allgäu-Schwaben
Q64504641,DB Regio Baden-Württemberg
Q1152076,DB Regio Bayern
Q1152116,DB Regio Bus Bayern
Q68308888,DB Regio Bus Mitte
Q26277121,DB Regio Bus Nord
Q19309329,DB Regio Bus Ost GmbH
Q1152078,DB Regio Franken
Q60894917,DB Regio Mitte
Q1152080,DB Regio Mittelfranken
Q62594047,DB Regio Nord
Q50300033,DB Regio Nordost
Q1152085,DB Regio Nordostbayern
Q1152084,DB Regio NRW
Q1152087,DB Regio Ostbayern
Q1152090,DB Regio Rheinland
Q1152091,DB Regio Südost
Q1152095,DB Regio Unterfranken
Q1152097,DB Regio Westfalen
Q26277119,DB Regionalverkehr Bayern GmbH
Q97685189,DB RegioNetz Infrastruktur GmbH
Q26277154,DB RegioNetz Verkehrs GmbH
Q552912,DB Schenker
Q17353485,DB Stadtverkehr
Q1152119,DB Station&Service
Q1152124,DB Vertrieb
Q1152130,Regionalverkehr Alb-Bodensee
Q1183236,DeinBus.de
Q1184023,Delbus
Q71560891,Demmelmair
Q1185797,Demminer Verkehrsgesellschaft
Q1187203,Denim Airways
Q1196020,Der Niederlausitzer
Q1200893,Dessau-Radegast-Köthener Bahn
Q1200905,Dessauer Verkehrs- und Eisenbahngesellschaft
Q1200902,Dessauer Verkehrsgesellschaft
Q64521228,deuCon
Q9322,Deutsche Bahn
Q1152100,Deutsche Bahn Connect
Q1202283,Deutsche Dampfschiffahrtsgesellschaft Kosmos
Q1202329,Deutsche Eisenbahn-Betriebsgesellschaft
Q3024830,Deutsche Eisenbahn-Gesellschaft
Q1203578,Deutsche Museums-Eisenbahn
Q15712316,Deutsche Post Mobility
Q1204139,Deutsche Seereederei
Q1204143,Deutsche Segelschiff-Kontor
Q1204214,Deutsche Stiftung Sail Training
Q1204283,Deutsche Touring
Q1204308,Deutsche Umschlaggesellschaft Schiene-Straße
Q1153587,DHL Hub Leipzig
Q315339,Die Länderbahn
Q105840340,Die Linie
Q58045847,Dispo-Tf Rail
